longvolume,shortvolume,change_2,change2,change_10,change_3,change,volume,change2x100,change_2x100,change_10x100,change_3x100,changex100,change_true,volume_t,change_2x1000
31.46,-0.00779,0.116565,0.063446,0.234451,0.144677,0.067182,31.451604,6.344589,11.656464,23.445134,14.467696,6.718152,0,331,417
0,-31.89468,0.148568,0.00351,0.088228,-0.000224,-0.063629,-31.89468,0.350961,14.856832,8.822785,-0.022364,-6.362917,0,331,449
87.66,0,-0.029262,0.116565,0.244858,0.183824,0.180291,87.658146,11.656464,-2.926178,24.485843,18.382448,18.02913,1,331,271
14.35,-30.84308,0.074655,0.148551,0.241087,0.084845,-0.031683,-16.490535,14.855109,7.465494,24.108692,8.484462,-3.168309,1,331,375
14.18,-32.00302,0.054435,-0.029262,0.122556,0.150977,0.002405,-17.827127,-2.926178,5.443529,12.255642,15.097676,0.24049,0,331,354
52.79,0,0.014367,0.074638,0.276968,0.042948,0.072231,52.785372,7.463775,1.436714,27.696759,4.294819,7.223111,0,331,314
39.74,-16.977,-0.099077,0.054435,0.184243,0.056841,-0.017783,22.762033,5.443529,-9.907704,18.42434,5.68415,-1.778298,0,331,201
24.65,0,-0.160436,0.014367,0.318882,0.086609,0.032156,24.647278,1.436714,-16.043571,31.888159,8.660863,3.215583,0,331,140
2.26,-41.70037,-0.024643,-0.099077,0.106007,-0.116842,-0.131174,-39.438788,-9.907704,-2.464346,10.600694,-11.68424,-13.117355,0,331,275
9.87,-20.49458,-0.004899,-0.160419,0.080429,-0.128331,-0.029283,-10.622418,-16.041857,-0.489919,8.042859,-12.833147,-2.928344,0,331,295
19.39,-14.32502,0.023137,-0.024643,0.01788,-0.155785,0.004641,5.067353,-2.464346,2.313687,1.788012,-15.578468,0.464134,0,331,323
15.69,-6.42883,-0.017174,-0.004899,0.071996,-0.034181,-0.009523,9.262941,-0.489919,-1.71738,7.19961,-3.41812,-0.95229,0,331,283
21.55,0,-0.080359,0.023154,-0.075456,0.027779,0.03268,21.548622,2.315406,-8.035882,-7.545556,2.777928,3.268008,0,331,220
1.09,-20.99473,-0.017228,-0.017174,-0.093619,-0.026695,-0.048171,-19.902273,-1.71738,-1.722833,-9.361927,-2.669507,-4.817141,0,331,283
5.2,-23.92255,0.001032,-0.078693,-0.126529,-0.047705,-0.032272,-18.722283,-7.869315,0.103195,-12.652898,-4.7705,-3.227247,0,331,301
9.39,-23.44804,-0.013276,-0.018965,-0.185331,-0.065391,0.013312,-14.05912,-1.896459,-1.327601,-18.53309,-6.539144,1.331218,0,331,287
7.15,-11.00008,-0.083329,0.001032,-0.179836,-0.031241,-0.012279,-3.848708,0.103195,-8.332925,-17.983574,-3.124086,-1.227859,0,331,217
27.83,-4.57391,0.010044,-0.013276,-0.212902,3.4E-05,-0.000998,23.25537,-1.327601,1.004433,-21.290172,0.00344,-0.099754,0,331,310
4.55,-25.0542,0.022033,-0.083329,-0.164101,-0.095598,-0.08235,-20.500013,-8.332925,2.20331,-16.410067,-9.559761,-8.234971,0,331,322
30.24,0,-0.093055,0.010027,-0.042528,0.009047,0.092453,30.24075,1.002713,-9.305548,-4.252843,0.904668,9.245297,0,331,207
7.36,-15.2821,-0.063021,0.022033,-0.117472,-0.060335,-0.070389,-7.92314,2.20331,-6.302145,-11.747205,-6.033475,-7.038919,0,331,237
4.35,-15.22983,-0.04281,-0.09309,-0.130652,-0.000689,-0.022717,-10.879789,-9.308984,-4.280993,-13.065154,-0.068853,-2.271663,0,331,257
9.57,-29.71647,0.038298,-0.063021,-0.201863,-0.133366,-0.035031,-20.145151,-6.302145,3.829822,-20.186279,-13.336628,-3.503129,0,331,338
20.55,-3.06666,0.029723,-0.037527,-0.157992,-0.065517,-0.002497,17.484875,-3.752737,2.972319,-15.799241,-6.551684,-0.249696,0,331,330
24.83,0,-0.042639,0.038298,-0.085016,0.003254,0.040796,24.834674,3.829822,-4.263866,-8.501563,0.325352,4.07962,0,331,257
6.73,-23.51015,0.024429,0.029723,-0.109372,0.027225,-0.011086,-16.783585,2.972319,2.442913,-10.937233,2.722549,-1.108571,0,331,324
27.6,-11.98762,0.104395,-0.042656,-0.128649,-0.00186,-0.031556,15.617258,-4.265587,10.439476,-12.864866,-0.185985,-3.155645,0,331,404
23.52,-0.00723,0.098794,0.024446,-0.071721,0.013341,0.056003,23.517684,2.444635,9.879419,-7.172061,1.334072,5.600325,0,331,399
20.82,0,-0.005849,0.104378,0.05899,0.072805,0.048364,20.822083,10.437752,-0.584909,5.89902,7.280536,4.836441,1,331,294
19.93,0,-0.03334,0.098811,0.016939,0.154853,0.050423,19.928188,9.881142,-3.334022,1.69395,15.485277,5.042262,1,331,267
3.23,-22.0201,0.055398,-0.005849,0.031098,0.042512,-0.051466,-18.785895,-0.584909,5.539759,3.10977,4.251249,-5.146573,0,331,355
14.76,-5.48935,-0.020124,-0.028562,0.082044,0.017066,0.022916,9.275112,-2.85615,-2.012433,8.204379,1.706559,2.291602,0,331,280
20.03,0,-0.101053,0.055398,0.149628,0.003903,0.032457,20.028528,5.539759,-10.105323,14.962826,0.390335,3.245692,0,331,199
7.06,-19.39659,-0.077107,-0.020142,0.099468,0.002787,-0.052581,-12.339566,-2.014152,-7.710717,9.946765,0.278708,-5.258138,0,331,223
0.15,-20.5599,0.051378,-0.101053,0.010105,-0.068629,-0.048515,-20.41172,-10.105323,5.137809,1.010452,-6.86291,-4.851454,0,331,351
12.22,-40.45547,-0.054406,-0.077124,-0.00742,-0.129648,-0.028624,-28.236368,-7.712436,-5.440577,-0.741998,-12.964801,-2.86237,0,331,246
17.8,-10.68484,-0.049132,0.051378,0.104171,0.002839,0.080025,7.110683,5.137809,-4.913248,10.417086,0.283862,8.00247,0,331,251
