longvolume,shortvolume,change_2,change2,change_10,change_3,change,volume,change2x100,change_2x100,change_10x100,change_3x100,changex100,change_true,change_2x1000,changex1000
31,0,0.12,0.06,0.23,0.14,0.07,31.5,6.3,11.7,23.4,14.5,6.7,1,117,67
0,-32,0.15,0.00,0.09,0.00,-0.06,-31.9,0.4,14.9,8.8,0.0,-6.4,0,149,-64
88,0,-0.03,0.12,0.24,0.18,0.18,87.7,11.7,-2.9,24.5,18.4,18.0,1,-29,180
14,-31,0.07,0.15,0.24,0.08,-0.03,-16.5,14.9,7.5,24.1,8.5,-3.2,1,75,-32
14,-32,0.05,-0.03,0.12,0.15,0.00,-17.8,-2.9,5.4,12.3,15.1,0.2,0,54,2
53,0,0.01,0.07,0.28,0.04,0.07,52.8,7.5,1.4,27.7,4.3,7.2,1,14,72
40,-17,-0.10,0.05,0.18,0.06,-0.02,22.8,5.4,-9.9,18.4,5.7,-1.8,1,-99,-18
25,0,-0.16,0.01,0.32,0.09,0.03,24.6,1.4,-16.0,31.9,8.7,3.2,0,-160,32
2,-42,-0.02,-0.10,0.11,-0.12,-0.13,-39.4,-9.9,-2.5,10.6,-11.7,-13.1,0,-25,-131
10,-20,0.00,-0.16,0.08,-0.13,-0.03,-10.6,-16.0,-0.5,8.0,-12.8,-2.9,0,-5,-29
19,-14,0.02,-0.02,0.02,-0.16,0.00,5.1,-2.5,2.3,1.8,-15.6,0.5,0,23,5
16,-6,-0.02,0.00,0.07,-0.03,-0.01,9.3,-0.5,-1.7,7.2,-3.4,-1.0,0,-17,-10
22,0,-0.08,0.02,-0.08,0.03,0.03,21.5,2.3,-8.0,-7.5,2.8,3.3,1,-80,33
1,-21,-0.02,-0.02,-0.09,-0.03,-0.05,-19.9,-1.7,-1.7,-9.4,-2.7,-4.8,0,-17,-48
5,-24,0.00,-0.08,-0.13,-0.05,-0.03,-18.7,-7.9,0.1,-12.7,-4.8,-3.2,0,1,-32
9,-23,-0.01,-0.02,-0.19,-0.07,0.01,-14.1,-1.9,-1.3,-18.5,-6.5,1.3,0,-13,13
7,-11,-0.08,0.00,-0.18,-0.03,-0.01,-3.8,0.1,-8.3,-18.0,-3.1,-1.2,0,-83,-12
28,-5,0.01,-0.01,-0.21,0.00,0.00,23.3,-1.3,1.0,-21.3,0.0,-0.1,0,10,-1
5,-25,0.02,-0.08,-0.16,-0.10,-0.08,-20.5,-8.3,2.2,-16.4,-9.6,-8.2,0,22,-82
30,0,-0.09,0.01,-0.04,0.01,0.09,30.2,1.0,-9.3,-4.3,0.9,9.2,0,-93,92
7,-15,-0.06,0.02,-0.12,-0.06,-0.07,-7.9,2.2,-6.3,-11.7,-6.0,-7.0,1,-63,-70
4,-15,-0.04,-0.09,-0.13,0.00,-0.02,-10.9,-9.3,-4.3,-13.1,-0.1,-2.3,0,-43,-23
10,-30,0.04,-0.06,-0.20,-0.13,-0.04,-20.1,-6.3,3.8,-20.2,-13.3,-3.5,0,38,-35
21,-3,0.03,-0.04,-0.16,-0.07,0.00,17.5,-3.8,3.0,-15.8,-6.6,-0.2,0,30,-2
25,0,-0.04,0.04,-0.09,0.00,0.04,24.8,3.8,-4.3,-8.5,0.3,4.1,1,-43,41
7,-24,0.02,0.03,-0.11,0.03,-0.01,-16.8,3.0,2.4,-10.9,2.7,-1.1,1,24,-11
28,-12,0.10,-0.04,-0.13,0.00,-0.03,15.6,-4.3,10.4,-12.9,-0.2,-3.2,0,104,-32
24,0,0.10,0.02,-0.07,0.01,0.06,23.5,2.4,9.9,-7.2,1.3,5.6,1,99,56
21,0,-0.01,0.10,0.06,0.07,0.05,20.8,10.4,-0.6,5.9,7.3,4.8,1,-6,48
20,0,-0.03,0.10,0.02,0.15,0.05,19.9,9.9,-3.3,1.7,15.5,5.0,1,-33,50
3,-22,0.06,-0.01,0.03,0.04,-0.05,-18.8,-0.6,5.5,3.1,4.3,-5.1,0,55,-51
15,-5,-0.02,-0.03,0.08,0.02,0.02,9.3,-2.9,-2.0,8.2,1.7,2.3,0,-20,23
20,0,-0.10,0.06,0.15,0.00,0.03,20.0,5.5,-10.1,15.0,0.4,3.2,1,-101,32
7,-19,-0.08,-0.02,0.10,0.00,-0.05,-12.3,-2.0,-7.7,9.9,0.3,-5.3,0,-77,-53
0,-21,0.05,-0.10,0.01,-0.07,-0.05,-20.4,-10.1,5.1,1.0,-6.9,-4.9,0,51,-49
12,-40,-0.05,-0.08,-0.01,-0.13,-0.03,-28.2,-7.7,-5.4,-0.7,-13.0,-2.9,0,-54,-29
18,-11,-0.05,0.05,0.10,0.00,0.08,7.1,5.1,-4.9,10.4,0.3,8.0,1,-49,80
0,-22,0.08,-0.05,-0.09,-0.08,-0.13,-22.1,-5.4,7.8,-8.6,-8.3,-13.4,0,78,-134
23,-2,0.02,-0.05,-0.05,0.03,0.09,21.5,-4.9,1.9,-4.9,3.1,8.5,0,19,85
3,-18,0.00,0.08,-0.10,-0.06,-0.01,-14.8,7.8,-0.4,-10.2,-5.6,-0.7,1,-4,-7
7,-11,-0.07,0.02,-0.02,0.10,0.03,-3.9,1.9,-6.8,-2.5,10.4,2.6,0,-68,26
3,-14,0.02,0.00,-0.08,-0.01,-0.03,-11.1,-0.4,2.2,-7.7,-1.0,-2.9,0,22,-29
5,-17,0.04,-0.07,-0.15,-0.04,-0.04,-11.6,-6.8,3.8,-14.8,-4.2,-3.9,0,38,-39
18,-5,-0.06,0.02,-0.03,-0.01,0.06,13.4,2.2,-5.9,-3.5,-0.7,6.1,1,-59,61
2,-25,-0.07,0.04,-0.01,0.00,-0.02,-23.0,3.8,-7.5,-0.9,-0.1,-2.3,1,-75,-23
0,-23,0.00,-0.06,-0.02,0.00,-0.04,-22.6,-5.9,-0.3,-1.6,0.2,-3.6,0,-3,-36
0,-36,0.03,-0.07,-0.14,-0.10,-0.04,-36.2,-7.5,3.1,-13.5,-9.8,-3.9,0,31,-39
