,change_2
42,0.11
43,0.04
44,-0.28
45,-0.16
46,0.14
47,0.2
48,0.16
49,-0.01
50,-0.17
51,-0.09
52,-0.1
53,-0.15
54,0.12
55,0.05
56,-0.07
57,0.07
58,-0.03
59,-0.11
60,-0.03
61,-0.09
62,-0.24
63,-0.2
64,0.08
65,0.38
66,0.19
67,-0.08
68,-0.03
69,0.09
70,-0.03
71,-0.12
72,-0.03
73,0.03
74,0.03
75,-0.06
76,-0.11
77,0.01
78,0.14
79,-0.01
80,-0.01
81,0.02
82,-0.09
83,-0.1
84,-0.28
85,-0.29
86,-0.03
87,-0.05
88,0.15
89,0.18
90,0.22
91,0.52
92,0.21
93,-0.02
94,-0.02
95,-0.07
96,-0.1
97,0.05
98,0.14
99,0.1
100,-0.09
101,-0.1
102,-0.01
103,-0.04
104,0.04
105,0.13
106,0.14
107,0.01
108,-0.09
109,-0.12
110,-0.04
111,0.03
112,0.06
113,0.05
114,0.07
115,0.14
116,0.13
117,0.17
118,0.32
119,0.18
120,0.01
121,-0.08
122,-0.06
123,-0.15
124,-0.13
125,-0.02
126,-0.19
127,-0.17
128,-0.09
129,-0.07
130,-0.16
131,-0.25
132,-0.14
133,0.01
134,-0.05
135,0.13
136,0.14
137,-0.19
138,-0.31
139,-0.2
140,0.09
141,0.23
142,0.1
143,-0.04
144,0.0
145,0.09
146,0.1
147,-0.13
148,-0.33
149,0.04
150,0.13
151,-0.32
152,0.0
153,0.23
154,-0.06
155,0.03
156,0.25
157,0.15
158,-0.02
159,-0.0
160,0.01
161,0.04
162,-0.03
163,-0.16
164,0.04
165,0.21
166,0.0
167,-0.04
168,0.09
169,0.15
170,0.1
171,-0.06
172,-0.05
173,0.03
174,0.08
175,0.09
176,-0.05
177,-0.08
178,-0.03
179,0.09
180,0.05
181,0.03
182,0.17
183,-0.03
184,-0.07
185,0.08
186,-0.07
187,-0.06
188,0.0
189,-0.07
190,-0.05
191,-0.1
192,-0.0
193,0.09
194,0.25
195,0.21
196,-0.14
197,-0.02
198,0.04
199,0.09
200,0.22
201,0.04
202,-0.06
203,-0.13
204,-0.12
205,0.0
206,0.01
207,-0.03
208,0.01
209,-0.01
210,-0.15
211,0.09
212,0.27
213,0.04
214,0.01
215,-0.04
216,-0.15
217,-0.03
218,-0.02
219,0.09
220,0.04
221,-0.1
222,-0.01
223,-0.06
224,-0.06
225,0.07
226,0.01
227,-0.08
228,0.02
229,0.12
230,-0.02
231,-0.08
232,-0.07
233,-0.04
234,0.14
235,0.0
236,-0.03
237,0.02
238,0.06
239,0.05
240,-0.13
241,-0.11
242,-0.04
243,-0.0
244,0.07
245,0.16
246,0.14
247,0.05
248,-0.05
249,-0.0
250,0.13
251,0.04
252,0.02
253,-0.0
254,-0.03
255,0.07
256,0.17
257,0.16
258,0.11
259,0.44
260,0.26
261,-0.07
262,0.15
263,0.03
264,-0.06
265,-0.08
266,-0.14
267,-0.05
268,0.06
269,0.02
270,0.01
271,0.03
272,-0.13
273,-0.12
274,-0.08
275,0.15
276,0.11
277,-0.24
278,-0.1
279,0.02
280,-0.01
281,-0.0
282,0.09
283,0.03
284,-0.17
285,0.01
286,0.15
287,0.08
288,0.01
289,-0.04
290,0.12
291,0.23
292,0.07
293,-0.02
294,-0.02
295,-0.07
296,0.02
297,-0.08
298,-0.04
299,0.01
300,0.04
301,0.2
302,0.23
303,0.19
304,-0.01
305,-0.07
306,-0.03
307,-0.05
308,0.06
309,0.05
310,0.02
311,0.14
312,0.17
313,0.09
314,-0.01
315,0.03
316,0.13
317,-0.09
318,-0.36
319,-0.18
320,-0.04
321,0.1
322,0.14
323,-0.03
324,-0.08
325,0.05
326,0.07
327,-0.1
328,-0.03
329,0.05
330,-3.44
331,-3.43
332,-0.05
333,-0.12
334,-0.07
335,-0.01
336,0.04
337,-0.13
338,-0.14
339,0.18
340,0.25
341,0.11
342,0.02
343,0.01
344,-0.03
345,-0.03
346,0.05
347,0.05
348,0.03
349,0.05
350,0.05
351,-0.07
352,-0.02
353,0.09
354,0.03
355,-0.1
356,-0.08
357,0.01
358,-0.07
359,-0.17
360,-0.12
361,0.03
362,0.04
363,0.1
364,0.13
365,-0.04
366,-0.06
367,0.07
368,0.17
369,-0.01
370,-0.2
371,-0.02
372,-0.09
373,-0.1
374,0.0
375,0.05
376,0.0
377,0.01
378,0.02
379,-0.0
380,0.09
381,0.01
382,-0.12
383,-0.08
384,0.12
385,0.11
386,-0.08
387,-0.08
388,0.06
389,0.03
390,3.64
391,3.67
392,-0.03
393,-0.18
394,-0.18
395,-0.14
396,-0.12
397,0.16
398,0.0
399,-0.11
400,0.03
401,0.06
402,0.15
403,0.06
404,0.15
405,0.14
406,-0.12
407,-0.16
408,-0.01
409,-0.0
410,-0.06
411,-0.11
412,-0.06
413,0.05
414,0.02
415,0.02
416,0.12
417,-0.02
418,-0.09
419,-0.01
420,-0.08
421,-0.06
422,-0.09
423,-0.16
424,0.01
425,0.23
426,0.09
427,0.06
428,0.18
429,0.07
430,-0.04
431,-0.02
432,-0.03
433,-0.11
434,0.01
435,0.07
436,0.01
437,0.13
438,0.18
439,0.08
440,-0.09
441,-0.06
442,0.08
443,0.01
444,-0.03
445,-0.06
446,-0.09
447,0.07
448,0.07
449,-0.06
450,-0.06
451,-0.08
452,-0.03
453,-0.06
454,-0.07
455,-0.12
456,-0.1
457,0.06
458,0.03
459,-0.03
460,-0.0
461,0.07
462,0.03
463,-0.14
464,-0.15
465,-0.13
466,-0.49
467,-0.34
468,-0.07
469,-0.05
470,0.14
471,0.12
472,0.05
473,-0.02
474,0.03
475,-0.0
476,-0.05
477,-0.02
478,0.1
479,0.09
480,-0.07
481,0.05
482,0.09
483,0.07
484,-0.01
485,-0.19
486,0.11
487,0.24
488,0.08
489,0.06
490,0.01
491,-0.02
492,-0.03
493,-0.08
494,-0.02
495,0.06
496,0.13
497,0.09
498,0.01
499,-0.05
500,-0.02
501,0.07
502,-0.01
503,-0.03
504,0.04
505,0.11
506,0.16
507,0.15
508,0.02
509,-0.02
510,-0.15
511,-0.12
512,0.02
513,-0.03
514,0.12
515,0.29
516,0.24
517,-0.02
518,-0.05
519,0.04
520,0.09
521,0.15
522,0.06
523,-0.01
524,-0.1
525,-0.0
526,0.12
527,0.09
528,-0.07
529,-0.09
530,0.05
531,-0.14
532,-0.16
533,-0.14
534,-0.06
535,0.18
536,0.1
537,-0.09
538,0.2
539,0.28
540,-0.0
541,0.01
542,0.0
543,-0.16
544,-0.04
545,-0.08
546,-0.13
547,0.13
548,0.42
549,0.48
550,0.03
551,-0.12
552,0.0
553,0.2
554,0.02
555,-0.13
556,-0.03
557,-0.08
558,-0.02
559,-0.09
560,-0.01
561,0.03
562,-0.11
563,-0.05
564,0.02
565,0.14
566,0.11
567,-0.08
568,-0.03
569,0.09
570,0.01
571,0.01
572,0.18
573,0.18
574,0.11
575,0.41
576,0.38
577,0.16
578,-0.11
579,-0.46
580,-0.04
581,0.24
582,-0.09
583,-0.22
584,-0.15
585,-0.55
586,-0.2
587,0.49
588,0.2
589,-0.09
590,0.06
591,0.33
592,0.2
593,0.07
594,-0.04
595,-0.04
596,-0.07
597,-0.19
598,-0.11
599,-0.07
600,0.07
601,-0.07
602,-0.46
603,-0.16
604,0.17
605,0.13
606,0.15
607,0.1
608,0.11
609,0.08
610,-0.04
611,0.01
612,0.11
613,0.01
614,-0.05
615,0.17
616,0.1
617,-0.03
618,0.11
619,-0.05
620,-0.12
621,-0.03
622,-0.04
623,-0.11
624,-0.09
625,0.1
626,0.02
627,-0.12
628,-0.04
629,0.21
630,-4.66
631,-5.0
632,-0.17
633,-0.12
634,0.15
635,0.16
636,0.0
637,0.14
638,0.07
639,0.16
640,0.12
641,-0.05
642,-0.01
643,-0.03
644,-0.06
645,-0.05
646,-0.04
647,-0.11
648,-0.06
649,0.01
650,-0.07
651,-0.02
652,0.03
653,0.04
654,0.08
655,0.0
656,-0.01
657,0.06
658,-0.07
659,-0.17
660,0.06
661,0.17
662,0.02
663,0.08
664,0.12
665,-0.0
666,-0.1
667,-0.0
668,0.02
669,-0.06
670,-0.05
671,-0.01
672,0.12
673,0.07
674,-0.06
675,0.06
676,0.04
677,-0.09
678,-0.11
679,-0.06
680,-0.1
681,-0.07
682,-0.0
683,-0.02
684,0.08
685,-0.07
686,-0.07
687,0.05
688,-0.04
689,-0.02
690,-0.02
691,-0.09
